p_fs,p_w1sp,p_w2sp,p_wrp,p_tpw,p_tmw,p_aces_per_game,p_df_per_game,p_bp_won,p_wsp,p_completeness,p_serve_adv,p_number_of_matches_used,o_fs,o_w1sp,o_w2sp,o_wrp,o_tpw,o_tmw,o_aces_per_game,o_df_per_game,o_bp_won,o_wsp,o_completeness,o_serve_adv,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches
0.6287340756702676,0.7010765948472256,0.4808507930731714,0.6771629025976647,0.6578132647953194,0.3966075356465374,0.6102541449423758,0.4336772795438053,0.6103732676179583,0.619314258990325,0.4193766412380103,-0.055123040045044765,12,0.6259351620947632,0.7649402390438246,0.5333333333333334,0.6744372990353698,0.6756976429151992,0.6363636363636364,0.609375,0.17708333333333331,0.6647727272727273,0.6783042394014962,0.4574736791461859,0.0011413368038315495,0.0,11,6196,6364,Marrakech,09/04/2018,0
0.583109150851745,0.7351275539694753,0.5290926298699449,0.6686888760711338,0.6620526382005318,0.5275821285096598,0.5197794750823105,0.14974726624776294,0.594211987930423,0.6492334795074257,0.434135205719572,-0.02454383578914032,12,0.6795523906408953,0.6437125748502994,0.4730158730158733,0.673777315296566,0.6450946643717729,0.2500000000000001,0.16,0.2800000000000001,0.6170212765957448,0.5890132248219737,0.3968637492947221,-0.0796756512491601,0.0,12,4311,5420,Marrakech,09/04/2018,0
0.5595353339787027,0.7283737024221456,0.5098901098901097,0.6944186046511628,0.6742067232170909,0.4545454545454546,0.4465408805031447,0.270440251572327,0.6439024390243903,0.6321393998063892,0.4389693599585763,-0.04775750741010565,11,0.5683453237410071,0.7414104882459314,0.5095238095238094,0.6798969072164949,0.6670099553724683,0.5454545454545455,0.3881578947368421,0.2368421052631579,0.6499999999999999,0.6413155190133607,0.4360284379271252,-0.05310308563780208,0.0,11,5902,4291,Marrakech,09/04/2018,0
0.5671852615753045,0.7712496250689035,0.4683137978678817,0.6718478484101451,0.6609286080684159,0.2751759728225742,0.6195216013022755,0.24740170431951575,0.5963896944583065,0.6401345342594245,0.4300730095352247,-0.04128691212461555,6,0.613456464379947,0.6709677419354839,0.4846416382252558,0.68142144638404,0.6549534292972057,0.2500000000000001,0.4754098360655738,0.18032786885245905,0.5771812080536913,0.5989445910290236,0.4081336895228946,-0.07290325738112148,0.0,12,3893,4994,Marrakech,09/04/2018,0
0.660633484162896,0.6392694063926939,0.4800000000000001,0.6838810641627543,0.6501803194229779,0.25,0.11458333333333336,0.25,0.591304347826087,0.5852187028657616,0.4002199892837838,-0.10635602130675592,8,0.6398305084745763,0.7317880794701986,0.5147058823529413,0.6915747241725175,0.6793737236215113,0.5714285714285714,0.4935897435897434,0.17307692307692307,0.5263157894736841,0.6536016949152543,0.45201441187970703,-0.030279369247499962,0.0,14,5333,4752,Marrakech,09/04/2018,0
0.5862068965517242,0.607843137254902,0.3611111111111112,0.6450000000000001,0.6027874564459932,0.0,0.9285714285714284,0.7857142857142857,0.4285714285714286,0.5057471264367817,0.32620689655172425,-0.1799552169855836,2,0.6068584553323542,0.7066000393037307,0.4731110311512603,0.6857023434223652,0.662558639471291,0.5061270311467173,0.3302395246595283,0.42957924030406747,0.6219712593688986,0.6148058099757521,0.4215737846500585,-0.03019419002424817,0.0,13,23755,4198,Marrakech,09/04/2018,0
0.6086497890295359,0.7538994800693242,0.5795148247978437,0.6595528455284553,0.6680384087791496,0.5454545454545455,0.5935483870967743,0.11612903225806455,0.608695652173913,0.6856540084388186,0.4522250523138143,0.0016579862535230914,11,0.6299071549790254,0.7321753784914429,0.5189637630324289,0.6839960221852955,0.6741169393785083,0.5923537379422825,0.2135356137824808,0.31634217931817205,0.6115172767835373,0.6532672851346983,0.4468322244559209,-0.006285560393756939,0.0,9,9719,6134,Marrakech,09/04/2018,0
0.5108853410740202,0.7798295454545456,0.4406528189910977,0.6849015317286651,0.6611650485436893,0.5882352941176471,0.8028846153846156,0.4423076923076924,0.5991735537190083,0.613933236574746,0.4204838141091804,-0.08498621332702228,17,0.61465271170314,0.6656346749226005,0.4839506172839506,0.6989194499017682,0.6637512147716229,0.5714285714285714,0.2452830188679245,0.2075471698113208,0.5707070707070707,0.5956232159847763,0.416292650464802,-0.08927831574388878,0.0,14,5324,4467,Marrakech,09/04/2018,0
0.6049596309111879,0.7368922783603432,0.4905109489051093,0.6705237515225334,0.659824631327222,0.5,0.5823754789272031,0.18390804597701152,0.6122448979591837,0.6395617070357554,0.4288413151317702,-0.03019382579638663,18,0.6285393930965208,0.7391173083388566,0.5751637884012194,0.6697555328321421,0.6725198328187114,0.6846905859275555,0.6243208348225063,0.08427715995985292,0.698780802214153,0.6782150343188602,0.4542382716849978,0.007691282796326805,0.0,11,4894,5792,Marrakech,09/04/2018,0
0.6270219178780436,0.7513162516598129,0.5637033631328559,0.6695677084219013,0.6734950067033679,0.7076160585428344,0.638551009949715,0.22381828865287914,0.6632554165443153,0.6813407563156679,0.4562037688607269,-0.0069831426434668895,21,0.5137447912106439,0.7656692891755257,0.4500567589729878,0.6883238989591349,0.6632782397460333,0.4643354861169534,0.7107075065315903,0.39743351635414936,0.5631994337897339,0.6122010524053536,0.42139261533853867,-0.057366656016547675,0.0,19,11769,5324,Barcelona,23/04/2018,0
