p_fs,p_w1sp,p_w2sp,p_wrp,p_tpw,p_tmw,p_aces_per_game,p_df_per_game,p_bp_won,p_wsp,p_completeness,p_serve_adv,p_number_of_matches_used,o_fs,o_w1sp,o_w2sp,o_wrp,o_tpw,o_tmw,o_aces_per_game,o_df_per_game,o_bp_won,o_wsp,o_completeness,o_serve_adv,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches
0.6127151475180609,0.657223684223113,0.44973007181399666,0.6764172601074119,0.6425984115325928,0.19214100056281286,0.6117838698218074,0.5064261499412055,0.5574490837805611,0.5768645511503037,0.39020113914218035,-0.07636125530130922,8,0.6205962059620597,0.7074235807860263,0.5142857142857143,0.6532258064516129,0.6469002695417789,0.0,0.39285714285714285,0.19642857142857142,0.6739130434782609,0.6341463414634148,0.414240755310779,-0.042270918643997124,,4,6196,6364,Marrakech,09/04/2018,0
0.5796597819181536,0.6625913003356448,0.5359844504225123,0.6564468635857161,0.6408135796422866,0.0,0.44269719077732733,0.12097076757785852,0.557354817167966,0.6093733494325031,0.4000212239876893,-0.05753312538764088,4,0.6783783783783784,0.6155378486055776,0.4285714285714287,0.666906474820144,0.6281690140845071,0.0,0.15454545454545457,0.3272727272727273,0.6174496644295302,0.5554054054054054,0.37040346101497185,-0.10104145818031074,,9,4311,5420,Marrakech,09/04/2018,0
0.5525040387722132,0.6959064327485381,0.4801444043321298,0.6649484536082475,0.6421761076836793,0.0,0.40659340659340665,0.31868131868131866,0.6727272727272727,0.5993537964458804,0.3985393801109205,-0.05877211863464682,6,0.5802292263610314,0.7333333333333334,0.5187713310580204,0.6581259150805272,0.6531007751937985,0.37500000000000006,0.37037037037037035,0.22222222222222227,0.7184466019417475,0.6432664756446991,0.4233503379242932,-0.021681977963548427,,8,5902,4291,Marrakech,09/04/2018,0
0.5759493670886074,0.6978021978021979,0.45522388059701474,0.6595330739299611,0.6349397590361445,0.0,0.44680851063829785,0.2127659574468085,0.5319148936170214,0.5949367088607594,0.392380436388711,-0.0717299578059073,3,0.6042345276872964,0.6495956873315364,0.48148148148148145,0.6666666666666667,0.6396206533192834,0.1,0.5,0.19387755102040816,0.6065573770491803,0.5830618892508144,0.3887079261672096,-0.07647118467914671,,10,3893,4994,Marrakech,09/04/2018,0
0.6599664991624792,0.6269035532994922,0.46798029556650267,0.6839378238341969,0.6461538461538461,0.14285714285714288,0.12790697674418608,0.2674418604651163,0.5945945945945946,0.5728643216080401,0.39180357747285643,-0.07757815626806608,7,0.6318681318681318,0.6391304347826087,0.455223880597015,0.6504424778761062,0.6228406909788868,0.0,0.309090909090909,0.2181818181818182,0.5370370370370371,0.5714285714285714,0.3716814159292035,-0.11250925240562548,,6,5333,4752,Marrakech,09/04/2018,0
0.6222222222222222,0.6428571428571428,0.29411764705882354,0.6545454545454545,0.6129032258064516,0.0,1.5714285714285714,0.5714285714285714,0.5,0.5111111111111111,0.33454545454545453,-0.1505782074319716,1,0.5913199036907224,0.71334733505276,0.4554824489719063,0.6616893185430827,0.6434794971275117,0.1735024008895711,0.3974693705100647,0.43079824438255865,0.6637758938130904,0.6079630885744559,0.40228268177817955,-0.04658236597099863,,8,23755,4198,Marrakech,09/04/2018,0
0.5979643765903309,0.7276595744680852,0.5443037974683546,0.6464530892448513,0.6487766377269141,0.0,0.35294117647058826,0.16176470588235295,0.5416666666666666,0.6539440203562341,0.4227441321524855,-0.008827638323517406,5,0.6421833639443049,0.6726242889842665,0.44083538194824307,0.6627716586797515,0.6384944296977516,0.0,0.12541725063829448,0.21925510657212788,0.5673605967383164,0.5896863619936104,0.39082740823933354,-0.05676672725124099,,4,9719,6134,Marrakech,09/04/2018,0
0.5044091710758377,0.7307692307692308,0.39145907473309605,0.6648451730418943,0.63003003003003,0.0,0.6352941176470588,0.5529411764705883,0.5494505494505495,0.562610229276896,0.37404869523873774,-0.11550681906916005,7,0.6172506738544474,0.6331877729257642,0.408450704225352,0.678117048346056,0.6361279170267934,0.0,0.23214285714285715,0.21428571428571433,0.6249999999999999,0.5471698113207547,0.3710451773968986,-0.11767536172113957,,5,5324,4467,Marrakech,09/04/2018,0
0.6302032913843176,0.7204301075268815,0.47905759162303685,0.6487907465825448,0.6425894378194208,0.0,0.538961038961039,0.18181818181818185,0.6299212598425196,0.6311713455953534,0.4094981285303187,-0.0368145186388521,9,0.6626090989074848,0.6932372981602617,0.4936252000741312,0.6679858642342055,0.6542624655359548,0.3470048017791423,0.5350288898688056,0.09897449191056312,0.6866037789882521,0.6258899925180146,0.4180856675676864,-0.022900754064530182,,4,4894,5792,Marrakech,09/04/2018,0
0.638136930105553,0.717543300138927,0.5327883052677936,0.6636836643318214,0.6592393079937398,0.4290599399880111,0.6961650788249419,0.19967443868229653,0.6574683108645527,0.6506872905165259,0.43185052530415224,-0.029814150011296947,11,0.512422084849428,0.7276070697280778,0.42975000911593564,0.6805014405278228,0.6483201250306955,0.0,0.5506603789004166,0.4217338418456163,0.5062765419926702,0.582378545101932,0.3963094388743623,-0.08130511922988937,,9,11769,5324,Barcelona,23/04/2018,0
0.6203754098180435,0.6946306976174749,0.4770868897539398,0.6720687190742581,0.651527402326932,0.31530941407244456,0.41041355383020367,0.20232870180536977,0.5536016612391303,0.612045718710658,0.41133678218875563,-0.07412449405529942,11,0.6136363636363635,0.6111111111111112,0.41176470588235287,0.6861702127659575,0.6376811594202897,0.0,0.4000000000000001,0.3333333333333333,0.3333333333333333,0.5340909090909091,0.3664772727272727,-0.13797780998334908,,1,5303,44494,Barcelona,23/04/2018,0
