match_id,tournament_name,season,tournament_id,date,level,surface,round,best_of,player_id,player_rank,player_elo_rating,opponent_id,opponent_rank,opponent_elo_rating,outcome,p_1st_in,o_1st_in,p_sv_pt,o_sv_pt,p_1st_won,o_1st_won,p_2nd_won,o_2nd_won,p_ace,o_ace,p_df,o_df,p_bp_sv,o_bp_sv,p_bp_fc,o_bp_fc,p_matches,o_matches,p_sv_gms
167185,Barcelona,2018,4,23/04/2018,A,C,R64,3,4887,420.0,1691,6134,77.0,1800,,37.0,42.0,63.0,59.0,20.0,30.0,11.0,9.0,2.0,0.0,1.0,3.0,4.0,5.0,9.0,7.0,0,1,9.0
166260,Australian Open,2018,1,15/01/2018,G,H,R128,5,4893,182.0,1734,5663,7.0,2165,,66.0,75.0,111.0,121.0,47.0,55.0,19.0,26.0,6.0,13.0,4.0,7.0,5.0,4.0,12.0,7.0,0,1,19.0
166261,Australian Open,2018,1,15/01/2018,G,H,R128,5,6107,96.0,1763,3898,59.0,1932,,104.0,90.0,160.0,132.0,59.0,68.0,29.0,17.0,14.0,8.0,2.0,5.0,10.0,5.0,18.0,9.0,0,1,21.0
166262,Australian Open,2018,1,15/01/2018,G,H,R128,5,4252,68.0,1886,5528,72.0,1707,,63.0,63.0,116.0,87.0,42.0,45.0,24.0,13.0,7.0,10.0,4.0,2.0,14.0,4.0,19.0,6.0,0,1,15.0
166263,Australian Open,2018,1,15/01/2018,G,H,R128,5,4546,66.0,1870,4921,25.0,2033,,74.0,60.0,108.0,90.0,41.0,42.0,18.0,19.0,4.0,16.0,3.0,3.0,8.0,4.0,14.0,7.0,0,1,16.0
166301,Australian Open,2018,1,15/01/2018,G,H,R64,5,5528,72.0,1754,4921,25.0,2041,,63.0,61.0,106.0,117.0,46.0,42.0,17.0,35.0,3.0,6.0,4.0,5.0,9.0,2.0,14.0,4.0,0,1,17.0
166305,Australian Open,2018,1,15/01/2018,G,H,R64,5,5034,86.0,1825,6030,93.0,1795,,76.0,77.0,126.0,110.0,52.0,50.0,18.0,12.0,14.0,2.0,2.0,2.0,9.0,3.0,17.0,9.0,0,1,20.0
166354,Davis Cup G1,2018,28,02/02/2018,D,H,RR,3,6315,117.0,1763,5486,284.0,1637,,52.0,53.0,80.0,77.0,36.0,39.0,13.0,12.0,9.0,5.0,3.0,3.0,1.0,1.0,3.0,2.0,0,1,11.0
166355,Davis Cup G1,2018,28,02/02/2018,D,H,RR,3,6218,468.0,1468,6238,365.0,1631,,65.0,54.0,115.0,85.0,43.0,46.0,23.0,18.0,3.0,3.0,4.0,2.0,6.0,4.0,10.0,5.0,0,1,14.0
166357,Davis Cup G1,2018,28,02/02/2018,D,G,RR,3,11777,776.0,1595,3499,1753.0,1733,,59.0,54.0,100.0,116.0,44.0,39.0,21.0,32.0,7.0,4.0,6.0,3.0,7.0,8.0,11.0,11.0,0,1,17.0
