match_id,date,surface,level,round,best_of,player_id,opponent_id,player_rank,opponent_rank,player_elo_rating,opponent_elo_rating,player_age,opponent_age,player_height,opponent_height,outcome,p_matches,o_matches,p_sets,o_sets,p_games,o_games,p_tbs,o_tbs,p_ace,p_df,p_sv_pt,p_1st_in,p_1st_won,p_2nd_won,p_sv_gms,p_bp_sv,p_bp_fc,o_ace,o_df,o_sv_pt,o_1st_in,o_1st_won,o_2nd_won,o_sv_gms,o_bp_sv,o_bp_fc,minutes,p_upsets,o_upsets,p_avg_ace,p_avg_df,p_avg_sv_pt,p_avg_1st_in,p_avg_1st_won,p_avg_2nd_won,p_avg_sv_gms,p_avg_bp_sv,p_avg_bp_fc,o_avg_ace,o_avg_df,o_avg_sv_pt,o_avg_1st_in,o_avg_1st_won,o_avg_2nd_won,o_avg_sv_gms,o_avg_bp_sv,o_avg_bp_fc
167867,02/07/2018,G,G,R64,5,26011,3898,52.0,63.0,1927,1942,20.45,36.53,,185.0,,1,0,3,1,22,15,0,0,22.0,2.0,98.0,53.0,45.0,27.0,18.0,2.0,4.0,13.0,9.0,105.0,66.0,43.0,17.0,19.0,1.0,7.0,137.0,0,0,7.71,2.89,84.91,51.27,36.8,17.57,13.39,4.03,6.74,10.09,3.4,85.37,51.81,38.56,17.27,13.63,4.1,6.49
167825,02/07/2018,G,G,R128,5,4920,5801,21.0,57.0,2302,1814,31.11,26.95,188.0,,,1,0,3,0,18,6,0,0,0.0,2.0,57.0,40.0,33.0,12.0,12.0,0.0,1.0,5.0,4.0,94.0,57.0,34.0,11.0,12.0,12.0,19.0,93.0,0,0,5.39,2.26,77.5,50.28,36.86,15.05,12.52,3.43,5.25,4.96,2.81,80.9,48.83,32.38,14.41,12.17,4.92,8.84
166509,05/02/2018,H,B,R32,3,4879,11485,111.0,88.0,1695,1770,30.92,22.68,188.0,,,1,0,2,0,12,8,0,0,2.0,2.0,57.0,37.0,28.0,12.0,10.0,0.0,1.0,6.0,3.0,58.0,30.0,21.0,14.0,10.0,7.0,10.0,78.0,1,0,4.14,4.01,82.77,52.16,34.17,14.03,12.58,4.87,8.92,6.11,2.99,80.8,48.43,33.77,16.15,12.74,4.23,7.29
166952,19/03/2018,H,M,R64,3,4269,4198,39.0,69.0,1991,1851,34.34,34.79,188.0,188.0,,1,0,2,1,16,8,0,0,5.0,2.0,64.0,40.0,28.0,13.0,12.0,1.0,4.0,2.0,8.0,83.0,46.0,28.0,11.0,12.0,5.0,12.0,107.0,0,0,5.32,3.98,79.44,53.63,38.0,13.25,12.57,4.09,6.53,4.78,2.87,82.02,50.65,35.13,15.51,12.6,4.43,7.47
168760,15/10/2018,H,B,QF,3,4752,5515,28.0,58.0,2039,1944,32.33,28.47,185.0,,,1,0,2,1,18,16,1,1,12.0,4.0,107.0,70.0,55.0,21.0,17.0,2.0,4.0,21.0,1.0,105.0,74.0,54.0,21.0,17.0,2.0,5.0,136.0,0,0,5.47,2.34,75.5,46.67,34.13,15.39,12.15,3.37,5.52,6.4,2.57,77.02,46.89,32.59,14.8,11.95,4.28,7.29
169037,31/12/2018,H,B,R32,3,44494,5420,81.0,98.0,1792,1803,21.656399,29.136208,,,,1,0,2,0,12,8,1,0,4.0,1.0,78.0,58.0,39.0,10.0,10.0,9.0,10.0,1.0,4.0,68.0,42.0,26.0,13.0,10.0,5.0,8.0,103.0,0,0,3.93,2.96,80.04,50.19,33.3,14.44,12.07,4.93,8.3,5.44,4.0,80.41,51.37,35.74,14.41,12.11,3.81,6.3
166183,08/01/2018,H,B,SF,3,5131,4894,21.0,43.0,2099,1932,29.74,30.76,183.0,190.0,,1,0,2,1,18,18,2,1,7.0,1.0,117.0,87.0,69.0,16.0,18.0,2.0,5.0,19.0,4.0,143.0,94.0,67.0,23.0,18.0,9.0,12.0,172.0,0,0,3.03,2.03,78.49,51.94,36.01,14.25,12.38,4.1,6.6,6.61,3.08,79.58,47.26,32.67,15.36,12.13,4.41,7.62
166495,05/02/2018,C,B,R16,3,6134,3893,107.0,46.0,1754,1816,24.87,36.14,,183.0,,1,0,2,0,13,11,1,0,0.0,2.0,77.0,44.0,33.0,18.0,12.0,3.0,5.0,6.0,3.0,64.0,30.0,26.0,19.0,12.0,3.0,6.0,117.0,1,0,3.47,3.39,75.83,45.94,31.31,15.11,11.42,4.14,6.97,3.83,3.31,74.83,43.81,31.08,14.83,11.58,3.5,6.31
167268,30/04/2018,C,B,SF,3,26011,5793,64.0,11.0,1926,2035,20.27,26.8,,188.0,,1,0,2,0,12,5,0,0,3.0,1.0,58.0,30.0,23.0,16.0,8.0,0.0,0.0,2.0,3.0,58.0,39.0,26.0,6.0,9.0,3.0,7.0,74.0,1,0,7.48,2.88,83.17,50.13,35.85,17.12,13.12,3.9,6.67,9.68,3.33,84.18,51.07,37.8,16.82,13.4,4.13,6.62
168628,01/10/2018,H,A,R32,3,6364,5367,16.0,70.0,1985,1893,23.73,29.21,,185.0,,1,0,2,1,15,9,0,0,13.0,2.0,76.0,46.0,32.0,15.0,12.0,2.0,5.0,6.0,3.0,65.0,34.0,23.0,9.0,12.0,3.0,9.0,91.0,0,0,6.04,2.85,82.84,48.77,35.58,17.87,13.08,4.15,6.62,7.58,3.64,82.52,50.12,36.56,16.13,12.93,4.13,6.77
