p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,player_elo_rating,opponent_elo_rating,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
112,0.0,344,5528,4252,Australian Open,15/01/2018,1707,1886,1,-0.8635770817230854,0.26771542014615,-0.08591454343630114,-0.8183574436780401,-0.5972698902655051,-0.5424403086171297,0.19246263785414108,0.4531836834275859,0.8527933120847693,-0.013533648524312184,-0.34184397697259894,-0.3699501454457229,-0.9099709343058131
199,-1.0,513,4546,4921,Australian Open,15/01/2018,1870,2033,0,0.7193034692869136,0.5869434178580916,0.8286467923053539,-1.8496662091527174,-0.5827557929589812,0.2434558695594691,0.6868793425494905,-1.3079631369172955,1.0911106907883537,0.9026023473701497,0.16933444294928895,0.09029693147495278,-0.8286327502337851
513,0.0,112,4921,5528,Australian Open,15/01/2018,2041,1754,1,0.1913612635587656,-0.5994819073114841,-0.5974277065690038,1.4320977462491584,0.48970593780011584,0.052976134723932124,-0.5296734072256146,1.3989855060096612,-1.2762436172837652,-0.6280633802532262,-0.06973702468315983,0.00035117964508045007,1.459003676792002
185,0.0,27,5034,6030,Australian Open,15/01/2018,1825,1795,0,-0.48953188408428283,1.0430303467771476,-0.9087097837795557,-0.7055842419657089,-0.16973975063452712,-0.08956600727504596,0.9468784230762352,-0.2375408038284963,0.46542031770266895,0.37867470755816246,0.09597956812187353,0.0685603543394374,0.15250909513505248
52,0.0,3,6315,5486,Davis Cup G1,02/02/2018,1763,1637,0,-0.585637530398667,0.7606683167467573,1.5403359079067038,1.2460501502368269,1.64600007157523,0.8705926634341262,0.5744615483183955,-0.32572720893075036,-0.49957234228952085,0.9837605084529776,1.4335351984828661,1.5195061775141903,0.6405381995672204
4,0.0,2,3499,11777,Davis Cup G1,02/02/2018,1733,1595,1,-1.1336527254301927,1.9963920201371252,0.7933420327323567,-1.4548321924936947,0.329913211003977,-3.9944839851683436,0.3634449468849277,1.3690600440806033,1.717052627871922,1.5375264636845647,1.0431887070890893,0.8926523284165783,0.7015418376212413
10,0.0,2,44525,22389,Davis Cup G1,02/02/2018,1740,1573,1,-1.8902848051509726,1.1374402454915402,0.0,2.046501547329992,1.9230736732509999,-3.9944839851683436,0.5766912592375295,-0.49924557527310887,-0.9237613726653164,0.484690113429217,1.2874938690930993,1.372746432644705,0.8489672962517921
279,0.0,4,4533,5693,Davis Cup G1,02/02/2018,1835,1690,1,-0.7396610435317006,-1.4428567244032284,-0.4014860153372696,1.9810484756259727,0.27321812957229097,2.0401934332849065,-1.7773082330640928,0.4358886252407167,0.4814803374326509,-1.4311932664927591,-0.6050089271113813,-0.5578416257243757,0.7371272931527536
10,0.0,279,44525,4533,Davis Cup G1,02/02/2018,1750,1842,0,-1.1587749856525933,0.7789356229450073,-0.15543888747889154,0.7068254706213961,0.6491681684296302,-0.04295144070073484,0.865900269894773,-0.08033040238177826,-1.6886916677149206,0.2719147331192968,0.5574707016019332,0.577880375472049,-0.4676945584141609
330,-1.0,263,5324,4994,Montpellier,05/02/2018,1906,1896,1,-2.787452486460689,0.8935370178992893,-0.5753829943377538,0.49759696913689705,0.10299220170943744,-0.03939714588436514,0.78914170811845,1.6511901504215836,-0.17735178943532828,-0.28389729264854613,-0.08990672734400346,-0.06507489296742568,0.05083636504501749
54,-1.0,544,6315,4789,Quito,05/02/2018,1779,2111,1,0.38926048389785234,-0.7432520749144755,-0.05578436519628918,-1.3002008433800585,-1.411332622711817,-0.7680026398499055,-1.08857787678251,-0.612085728382037,-0.22703752847321554,-0.5303804580531889,-1.065964789051643,-1.0929846156331058,-1.6877673194945808
31,0.0,17,6134,11769,Quito,05/02/2018,1773,1747,1,-0.34500460732162913,-0.9015255156869862,-0.7158102985400214,1.603523102502008,0.2969480174678524,-2.5467677780200444,-1.1023209340063422,0.6846729524719413,-1.694615941733349,-1.0209374758742533,-0.3741913035186102,-0.3150103305949805,0.1321745491170455
20,0.0,1,5403,44669,Quito,05/02/2018,1853,1794,1,0.7503853302354017,1.2790813486971255,1.130674820534242,0.23825851492803285,0.9785736396383002,-3.9944839851683436,-0.28424504535786427,-0.8308954515895358,1.7338610220802964,1.5213355514375442,1.6629319309546515,1.6141661087286572,0.2999345537656032
