p_fs,p_w1sp,p_w2sp,p_wrp,p_tpw,p_tmw,p_aces_per_game,p_df_per_game,p_bp_won,p_wsp,p_completeness,p_serve_adv,p_number_of_matches_used,o_fs,o_w1sp,o_w2sp,o_wrp,o_tpw,o_tmw,o_aces_per_game,o_df_per_game,o_bp_won,o_wsp,o_completeness,o_serve_adv,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,player_elo_rating,opponent_elo_rating,p_matches
0.6501114294810569,0.6856023506366308,0.5013648771610555,0.6794612794612794,0.6592886246008149,0.5365853658536586,0.38969072164948454,0.21649484536082475,0.5954198473282443,0.6211397644062401,0.42204041904774153,-0.05663801337153773,41,0.6016528925619835,0.7225274725274725,0.46887966804979253,0.6777777777777778,0.657566765578635,0.7142857142857143,0.5054945054945055,0.13186813186813187,0.5742574257425742,0.6214876033057851,0.42123048668503216,-0.057973676155494314,,7,34554,23589,Houston,08/04/2019,1839,1788,1
0.5771960958296362,0.6840891621829363,0.4858342077649528,0.6939419436264198,0.6638127853881278,0.37037037037037035,0.3502824858757062,0.2853107344632768,0.5855855855855856,0.6002661934338953,0.4165498889647498,-0.07919508602738412,27,0.6501114294810569,0.6856023506366308,0.5013648771610555,0.6794612794612794,0.6592886246008149,0.5365853658536586,0.38969072164948454,0.21649484536082475,0.5954198473282443,0.6211397644062401,0.42204041904774153,-0.07280217922017973,1.0,41,6412,34554,Houston,08/04/2019,1851,1850,0
0.5839875364195533,0.7088660222430101,0.503380185788629,0.6890049115521303,0.6673239926201235,0.48856209150326796,0.4008822003113648,0.2101712506486767,0.5939900587437867,0.6233813531887342,0.4295128141170511,-0.04254126585888485,612,0.6058394160583942,0.727710843373494,0.5148148148148148,0.6659226190476191,0.6584524396254312,0.5,0.5079365079365079,0.20317460317460317,0.6493506493506493,0.6437956204379562,0.4287180656934307,-0.045209291114174044,,24,4311,32068,Monte Carlo Masters,15/04/2019,1921,1817,1
0.6864784546805349,0.6147186147186147,0.5260663507109005,0.6904761904761905,0.6566294317629917,0.3,0.20588235294117646,0.22549019607843138,0.6298701298701299,0.5869242199108469,0.4052571994622514,-0.08921943122211595,10,0.5951698731068359,0.6808803301237965,0.45197168857431747,0.6761436511329628,0.645976688667322,0.5,0.35537190082644626,0.39944903581267216,0.6165254237288136,0.588211215718379,0.39771527903318354,-0.10226497475781149,1.0,30,6184,5805,Estoril,29/04/2019,1692,1718,0
0.6029838969981709,0.7168262653898769,0.519873532068654,0.6841861953700081,0.6690876671619613,0.4763231197771588,0.4859556976478648,0.22722082667275634,0.6051051051051051,0.6386328587311265,0.43694378585352134,-0.024288489583480177,359,0.5625,0.6296296296296297,0.6428571428571429,0.6629213483146067,0.6532846715328468,1.0,0.3333333333333333,0.2,0.6666666666666666,0.6354166666666667,0.42123127340823974,-0.04876952870334139,,1,4654,11767,Estoril,29/04/2019,1915,1658,0
0.6124166575582031,0.7119400321256469,0.5214326001128031,0.6728118161925601,0.661234459878231,0.38095238095238093,0.5627165627165627,0.2176022176022176,0.6092436974789915,0.6381025248661055,0.4293229186722227,-0.0537986099077169,105,0.6401410610242257,0.6335329341317365,0.5283340434597358,0.6919011347738224,0.6595316690736538,0.5058823529411764,0.1465863453815261,0.16666666666666666,0.5964125560538116,0.5956761729530818,0.41214902002396503,-0.0771356432394783,,85,26011,6401,Estoril,29/04/2019,1940,1919,1
0.6110814512197953,0.7108941730608523,0.5307072515666965,0.6975069314518856,0.6789775960305598,0.547576301615799,0.27834291611381395,0.2152439923337756,0.600559369438088,0.6408161370441726,0.44697369737453185,-0.06822757880282193,557,0.6132770745428974,0.6551692505274745,0.4989816700610998,0.7090437158469945,0.6716873563218391,0.4780701754385965,0.2058076225045372,0.238475499092559,0.5566657901656586,0.5947679324894515,0.4217164649189551,-0.1027389989624341,1.0,228,5442,6029,Rome Masters,13/05/2019,2149,1993,0
0.5836037863421231,0.7152291027052077,0.5092960948282861,0.6995148177288224,0.6766459133660088,0.4746666666666667,0.4365953769712681,0.2780298120544394,0.5946797339866994,0.6294793779580798,0.4403301523363987,-0.06315695720945924,375,0.6348943899769451,0.7494773135751751,0.5329123612705702,0.6926363351675391,0.6854245842557404,0.5026642984014209,0.6207639287765652,0.18466398621481908,0.6042054069517951,0.6704082345543886,0.46434910264789164,-0.02910658317443382,0.5,563,5663,5216,Rome Masters,13/05/2019,2041,2231,1
0.6518010291595198,0.6912280701754386,0.5139573070607554,0.6802343045959748,0.662760929499803,0.5652173913043478,0.3701657458563536,0.22283609576427257,0.5972461273666093,0.6295025728987993,0.42820924491719164,-0.03605187043342184,46,0.6506222246587359,0.7707280080889788,0.5316177624352738,0.6655544433322211,0.6728346093533807,0.4697674418604651,1.088235294117647,0.26915184678522575,0.6398616515348032,0.6871882024011842,0.45736116151358985,0.006953897805209386,,215,34554,6387,Rome Masters,13/05/2019,1852,2101,0
0.6111957851161915,0.7248322147651006,0.5450321831292648,0.6859037868780273,0.6757506799134151,0.5,0.4644679084114367,0.16502550717760114,0.6141397911167221,0.6549252046288456,0.4492156779767922,-0.01805083393630391,686,0.6649393154234283,0.682526661197703,0.48921448921448923,0.6729760385651495,0.6540883436727459,0.46236559139784944,0.34328358208955223,0.20280948200175591,0.5941666666666666,0.6177553525160234,0.41573454993865094,-0.0681484343620039,,93,4259,6051,Rome Masters,13/05/2019,2000,1920,0
