match_id;tournament_name;season;tournament_id;date;level;surface;round;best_of;player_id;player_rank;player_elo_rating;opponent_id;opponent_rank;opponent_elo_rating;outcome;minutes;p_1st_in;o_1st_in;p_sv_pt;o_sv_pt;p_1st_won;o_1st_won;p_2nd_won;o_2nd_won;p_ace;o_ace;p_df;o_df;p_bp_sv;o_bp_sv;p_bp_fc;o_bp_fc;p_matches;p_sv_gms;o_sv_gms
167084;Marrakech;2018;299;09/04/2018;B;C;R32;3;6196;65;1859;6364;26;1989;RET;16;10;5;18;10;1;4;4;4;0;1;0;1;3;0;6;0;0;3;2
167085;Marrakech;2018;299;09/04/2018;B;C;R32;3;4311;62;1948;5420;93;1768;;100;52;41;86;64;29;22;12;12;2;0;1;5;7;5;14;10;0;11;11
167086;Marrakech;2018;299;09/04/2018;B;C;R32;3;5902;61;1876;4291;91;1844;;128;39;41;85;86;23;24;19;19;2;1;7;1;5;10;12;16;0;13;12
167087;Marrakech;2018;299;09/04/2018;B;C;R32;3;3893;57;1801;4994;55;1868;;87;37;26;68;47;24;18;9;14;1;5;2;0;6;2;11;5;0;9;10
167088;Marrakech;2018;299;09/04/2018;B;C;R32;3;5333;102;1685;4752;38;2040;;87;46;28;75;53;24;18;13;17;0;6;2;1;6;3;11;5;0;10;9
167089;Marrakech;2018;299;09/04/2018;B;C;R32;3;23755;135;1657;4198;67;1844;;76;34;27;64;41;23;17;7;12;3;3;7;1;8;0;13;1;0;8;8
167090;Marrakech;2018;299;09/04/2018;B;C;R32;3;9719;73;1798;6134;78;1795;;72;35;30;53;49;20;21;8;13;1;3;4;3;6;1;10;1;0;8;8
167091;Marrakech;2018;299;09/04/2018;B;C;R32;3;5324;47;1918;4467;71;1918;;123;48;62;99;100;34;43;21;17;4;0;4;4;1;6;8;11;0;16;16
167092;Marrakech;2018;299;09/04/2018;B;C;R32;3;4894;44;1892;5792;94;1886;;134;55;59;96;98;28;39;24;16;1;9;3;2;5;8;13;15;0;16;16
167173;Barcelona;2018;4;23/04/2018;A;C;R64;3;11769;64;1859;5324;47;1899;;142;75;64;116;114;49;46;24;28;2;10;4;4;2;2;5;4;0;17;17
167174;Barcelona;2018;4;23/04/2018;A;C;R64;3;5303;67;1900;44494;174;1615;;155;75;68;116;103;52;42;13;17;4;2;1;2;8;9;13;13;0;16;15
167175;Barcelona;2018;4;23/04/2018;A;C;R64;3;5367;50;1901;5539;60;1870;;89;45;41;75;64;33;33;11;11;7;9;1;1;5;4;8;5;0;10;10
167176;Barcelona;2018;4;23/04/2018;A;C;R64;3;11549;51;1900;4296;125;1717;;86;42;38;71;55;22;30;13;8;1;2;4;2;5;4;9;4;0;8;8
167177;Barcelona;2018;4;23/04/2018;A;C;R64;3;44669;137;1772;26578;63;1815;;87;59;38;67;63;26;27;5;12;0;2;0;3;8;3;13;5;0;8;9
167178;Barcelona;2018;4;23/04/2018;A;C;R64;3;3990;211;1877;3333;75;1891;;135;67;65;107;100;59;58;21;23;4;29;2;2;1;0;2;0;0;17;17
167179;Barcelona;2018;4;23/04/2018;A;C;R64;3;6058;138;1807;6202;106;1799;;133;70;57;106;99;43;45;18;18;1;11;8;7;5;4;10;8;0;16;17
167180;Barcelona;2018;4;23/04/2018;A;C;R64;3;4994;52;1886;4914;45;1948;;63;19;33;37;53;11;27;6;10;1;5;0;1;2;4;6;4;0;7;8
167181;Barcelona;2018;4;23/04/2018;A;C;R64;3;5055;95;1851;4716;129;1769;;66;30;21;48;39;16;19;8;13;0;5;0;0;6;0;10;0;0;8;8
167182;Barcelona;2018;4;23/04/2018;A;C;R64;3;5630;76;1908;5364;140;1873;;176;62;73;101;118;38;50;22;24;2;3;1;3;11;7;16;10;0;15;16
167183;Barcelona;2018;4;23/04/2018;A;C;R64;3;23913;226;1697;5571;91;1835;;158;81;82;113;124;58;58;10;23;2;7;5;3;4;8;7;9;0;15;16
167184;Barcelona;2018;4;23/04/2018;A;C;R64;3;5209;42;1869;4198;69;1834;;147;67;60;112;100;37;40;26;21;3;7;2;5;7;11;10;14;0;12;12
167185;Barcelona;2018;4;23/04/2018;A;C;R64;3;4887;420;1691;6134;77;1800;;95;37;42;63;59;20;30;11;9;2;0;1;3;4;5;9;7;0;9;9
166260;Australian Open;2018;1;15/01/2018;G;H;R128;5;4893;182;1734;5663;7;2165;;153;66;75;111;121;47;55;19;26;6;13;4;7;5;4;12;7;0;19;20
166261;Australian Open;2018;1;15/01/2018;G;H;R128;5;6107;96;1763;3898;59;1932;;207;104;90;160;132;59;68;29;17;14;8;2;5;10;5;18;9;0;21;20
166262;Australian Open;2018;1;15/01/2018;G;H;R128;5;4252;68;1886;5528;72;1707;;116;63;63;116;87;42;45;24;13;7;10;4;2;14;4;19;6;0;15;15
166263;Australian Open;2018;1;15/01/2018;G;H;R128;5;4546;66;1870;4921;25;2033;;122;74;60;108;90;41;42;18;19;4;16;3;3;8;4;14;7;0;16;16
166301;Australian Open;2018;1;15/01/2018;G;H;R64;5;5528;72;1754;4921;25;2041;;140;63;61;106;117;46;42;17;35;3;6;4;5;9;2;14;4;0;17;17
166305;Australian Open;2018;1;15/01/2018;G;H;R64;5;5034;86;1825;6030;93;1795;;152;76;77;126;110;52;50;18;12;14;2;2;2;9;3;17;9;0;20;19
166354;Davis Cup G1;2018;28;02/02/2018;D;H;RR;3;6315;117;1763;5486;284;1637;;94;52;53;80;77;36;39;13;12;9;5;3;3;1;1;3;2;0;11;11
166355;Davis Cup G1;2018;28;02/02/2018;D;H;RR;3;6218;468;1468;6238;365;1631;;145;65;54;115;85;43;46;23;18;3;3;4;2;6;4;10;5;0;14;15
166554;Buenos Aires;2018;319;12/02/2018;B;C;QF;3;4914;50;1947;4789;43;2103;;122;52;62;87;84;36;40;20;15;4;3;8;0;3;3;6;5;0;14;14
166356;Davis Cup G1;2018;28;02/02/2018;D;G;RR;3;26755;178;1650;3529;;1690;;104;49;52;81;78;35;43;22;12;6;20;1;4;0;4;2;7;0;14;14
166357;Davis Cup G1;2018;28;02/02/2018;D;G;RR;3;11777;776;1595;3499;1753;1733;;162;59;54;100;116;44;39;21;32;7;4;6;3;7;8;11;11;0;17;17
166359;Davis Cup G1;2018;28;02/02/2018;D;H;RR;3;22389;254;1573;44525;289;1740;;79;33;33;62;61;24;27;15;16;3;12;1;2;2;2;5;3;0;11;11
166360;Davis Cup G1;2018;28;02/02/2018;D;H;RR;3;5693;325;1690;4533;97;1835;;130;71;66;110;96;47;49;15;16;14;6;5;3;8;2;13;4;0;15;16
166361;Davis Cup G1;2018;28;02/02/2018;D;H;RR;3;44525;289;1750;4533;97;1842;;85;47;30;79;55;24;21;15;15;1;0;4;2;9;2;14;4;0;9;10
166555;Buenos Aires;2018;319;12/02/2018;B;C;QF;3;5539;59;1913;6219;6;2091;;108;54;54;80;72;35;38;12;9;4;3;0;1;9;2;12;4;0;11;11
166595;Rotterdam;2018;108;12/02/2018;A;H;R32;3;4752;33;2080;5718;80;1820;RET;15;6;6;11;12;3;6;3;4;0;3;0;0;0;0;1;0;0;2;2
166596;Rotterdam;2018;108;12/02/2018;A;H;R32;3;5303;68;1829;4311;81;1915;;109;55;49;87;84;40;37;14;15;12;4;3;2;4;4;7;6;0;13;12
166598;Rotterdam;2018;108;12/02/2018;A;H;R32;3;4526;13;2174;34652;259;1664;;88;39;47;78;68;29;39;20;14;7;2;2;0;5;0;8;1;0;13;14
167874;Wimbledon;2018;17;02/07/2018;G;G;R64;5;3852;70;1975;5216;4;2269;;95;43;32;86;53;28;31;17;17;10;13;5;1;5;0;11;0;0;13;12
167875;Wimbledon;2018;17;02/07/2018;G;G;R64;5;33215;25;1953;5324;47;1951;;132;62;74;115;116;46;60;30;16;6;9;7;10;8;8;11;11;0;18;19
167876;Wimbledon;2018;17;02/07/2018;G;G;R64;5;26414;81;1800;4467;53;1945;;117;42;49;83;88;32;44;18;24;12;6;3;2;2;6;6;7;0;14;16
167877;Wimbledon;2018;17;02/07/2018;G;G;R64;5;3565;158;1774;5044;51;1878;;124;52;72;116;124;39;58;29;24;13;14;9;10;8;4;14;8;0;20;20
167878;Wimbledon;2018;17;02/07/2018;G;G;R64;5;6029;11;2042;6196;93;1871;;133;60;74;87;111;37;54;17;17;7;17;1;7;2;7;6;9;0;15;17
167879;Wimbledon;2018;17;02/07/2018;G;G;R64;5;4619;154;1881;4921;16;2048;;118;68;49;96;92;42;34;7;24;3;5;2;4;12;6;18;7;0;13;13
167880;Wimbledon;2018;17;02/07/2018;G;G;R64;5;5718;72;1931;45106;80;1840;;185;100;80;148;141;71;62;19;37;5;6;6;7;11;6;17;8;0;20;22
167881;Wimbledon;2018;17;02/07/2018;G;G;R64;5;5055;77;1871;4742;1;2412;;143;65;67;90;101;38;43;13;24;3;5;1;3;8;11;13;13;0;14;15
167882;Wimbledon;2018;17;02/07/2018;G;G;R32;5;5515;64;1898;3819;2;2428;;94;56;40;100;74;37;37;21;23;11;10;6;2;10;0;14;0;0;14;15
167883;Wimbledon;2018;17;02/07/2018;G;G;R32;5;6407;67;1929;5166;26;1952;;192;76;93;144;139;52;64;28;22;12;8;4;1;5;4;14;11;0;25;25
167884;Wimbledon;2018;17;02/07/2018;G;G;R32;5;5016;13;1991;4789;44;2058;;128;69;83;112;109;52;64;23;16;22;18;2;2;5;1;9;2;0;20;20
167885;Wimbledon;2018;17;02/07/2018;G;G;R32;5;4259;27;2020;4728;8;2067;;127;59;61;97;88;35;53;25;15;5;22;3;4;3;3;7;4;0;16;17
167886;Wimbledon;2018;17;02/07/2018;G;G;R32;5;5539;82;1918;11429;103;1784;;121;64;74;95;104;51;60;16;16;14;11;0;2;2;2;4;2;0;16;17
167887;Wimbledon;2018;17;02/07/2018;G;G;R32;5;10580;171;1794;5670;32;2153;;152;110;76;146;109;72;66;18;21;7;28;2;3;7;3;11;5;0;22;21
166604;Rotterdam;2018;108;12/02/2018;A;H;R16;3;3852;37;1981;5663;7;2153;;55;43;25;58;38;25;23;6;9;10;9;0;0;7;0;11;0;0;8;8
166617;Delray Beach;2018;314;19/02/2018;B;H;R32;3;4868;96;1862;5216;10;2225;;67;30;38;47;50;21;30;6;5;5;7;3;0;1;3;5;4;0;9;9
166618;Delray Beach;2018;314;19/02/2018;B;H;R32;3;5044;88;1806;26011;91;1787;;84;39;45;73;74;27;33;16;16;11;12;7;3;4;2;8;4;0;12;12
166619;Delray Beach;2018;314;19/02/2018;B;H;R32;3;22171;131;1779;5009;303;1638;;87;36;38;60;68;24;26;7;15;2;4;6;2;3;2;8;4;0;10;10
166620;Delray Beach;2018;314;19/02/2018;B;H;R32;3;11787;115;1773;11176;30;2029;;101;59;49;88;77;38;34;11;17;5;1;4;0;3;4;8;6;0;13;12
166621;Delray Beach;2018;314;19/02/2018;B;H;R32;3;5016;12;2022;26007;85;1853;;108;44;68;88;98;34;52;28;15;9;10;5;3;2;6;3;8;0;14;15
166622;Delray Beach;2018;314;19/02/2018;B;H;R32;3;4533;97;1848;4022;93;1780;;98;46;45;86;71;32;31;18;16;4;2;9;4;7;3;10;4;0;11;11
166623;Delray Beach;2018;314;19/02/2018;B;H;R32;3;3333;78;1911;33215;46;1872;;113;44;46;84;83;34;36;19;20;13;4;8;10;3;11;5;12;0;12;12
166624;Delray Beach;2018;314;19/02/2018;B;H;R32;3;5159;143;1676;11549;57;1877;;81;38;35;62;59;26;30;11;15;3;8;0;1;5;0;7;0;0;9;10
