p_number_of_matches_used,direct,o_number_of_matches_used,player_id,opponent_id,tournament_name,date,p_matches,fs_diff,w1sp_diff,w2sp_diff,wrp_diff,tpw_diff,tmw_diff,aces_per_game_diff,df_per_game_diff,bp_won_diff,wsp_diff,completeness_diff,serve_adv_diff,elo_rating_diff
41,0.0,7,34554,23589,Houston,08/04/2019,1,0.048458536919073425,-0.03692512189084174,0.032485209111263014,0.0016835016835016203,0.0017218590221799168,-0.17770034843205573,-0.11580378384502099,0.08462671349269288,0.021162421585670055,-0.00034783889954503877,0.0008099323627093202,0.0013356627839566024,51
27,1.0,41,6412,34554,Houston,08/04/2019,0,-0.07291533365142078,-0.001513188453694525,-0.015530669396102703,0.014480664165140378,0.004524160787312881,-0.16621499548328816,-0.03940823577377828,0.06881588910245207,-0.009834261742658668,-0.020873570972344768,-0.0054905300829916626,-0.00639290680720439,1
612,0.0,24,4311,32068,Monte Carlo Masters,15/04/2019,1,-0.021851879638840943,-0.018844821130483913,-0.01143462902618586,0.023082292504511215,0.008871552994692333,-0.011437908496732041,-0.10705430762514312,0.006996647474073497,-0.0553605906068626,-0.020414267249222018,0.0007947484236204283,0.002668025255289204,104
10,1.0,30,6184,5805,Estoril,29/04/2019,0,0.09130858157369903,-0.06616171540518179,0.07409466213658294,0.014332539343227646,0.010652743095669659,-0.2,-0.14948954788526977,-0.17395883973424087,0.013344706141316331,-0.0012869958075321097,0.007541920429067928,0.013045543535695522,-26
359,0.0,1,4654,11767,Estoril,29/04/2019,0,0.0404838969981709,0.08719663576024728,-0.12298361078848885,0.021264847055401437,0.01580299562911458,-0.5236768802228412,0.15262236431453147,0.027220826672756326,-0.06156156156156156,0.0032161920644597775,0.0157125124452816,0.024481039119861214,257
105,0.0,85,26011,6401,Estoril,29/04/2019,1,-0.027724403466022673,0.07840709799391044,-0.006901443346932656,-0.019089318581262282,0.0017027908045772477,-0.12492997198879557,0.4161302173350366,0.05093555093555094,0.012831141425179937,0.042426351913023685,0.01717389864825769,0.023337033331761403,21
557,1.0,228,5442,6029,Rome Masters,13/05/2019,0,-0.0021956233231020805,0.055724922533377796,0.031725581505596734,-0.011536784395108968,0.00729023970872078,0.06950612617720248,0.07253529360927674,-0.023231506758783382,0.04389357927242932,0.04604820455472114,0.025257232455576817,0.03451142015961217,156
375,0.5,563,5663,5216,Rome Masters,13/05/2019,1,-0.051290603634822074,-0.03424821086996743,-0.023616266442284095,0.006878482561283317,-0.00877867088973161,-0.027997631734754225,-0.18416855180529706,0.0933658258396203,-0.009525672965095766,-0.04092885659630874,-0.02401895031149298,-0.03405037403502542,-190
46,0.0,215,34554,6387,Rome Masters,13/05/2019,0,0.001178804500783892,-0.07949993791354015,-0.017660455374518436,0.014679861263753646,-0.010073679853577766,0.09544994944388269,-0.7180695482612933,-0.04631575102095317,-0.04261552416819392,-0.05768562950238487,-0.029151916596398098,-0.043005768238631226,-249
686,0.0,93,4259,6051,Rome Masters,13/05/2019,0,-0.053743530307236775,0.042305553567397625,0.055817693914775646,0.012927748312877796,0.021662336240669156,0.037634408602150615,0.12118432632188447,-0.03778397482415477,0.0199731244500555,0.0371698521128222,0.033481128038141295,0.050097600425699995,80
923,-1.0,112,4920,33215,Rome Masters,13/05/2019,1,0.06822861460129725,-0.014636828847606531,0.03497865131390743,0.03755928000233666,0.03157121694821896,0.027027549914873827,-0.15121586699421463,-0.20079478600859443,-0.03715294013160131,0.018181409088983913,0.03759826066436628,0.05574068909132057,397
154,-1.0,882,5918,4742,Rome Masters,13/05/2019,1,-0.07013832694501076,-0.04912171016923661,-0.07812565764109508,-0.02869614871168702,-0.04411840350982832,0.04998969284683569,0.0698694937978745,0.22314506633698208,0.009203433425853613,-0.07071247161817718,-0.06778158440521065,-0.0994086203298642,-391
